American,British,Australian,South African,Jamaican
18-wheeler,juggernaut,juggernaut,juggernaut,big truck
a little bit,a spot,a spot,a spot,a little bit
absentee ballot,postal vote,postal vote,postal vote,absent vote
acetaminophen,paracetamol,paracetamol,paracetamol,paracetamol
ad,advert,advert,advert,ad
airplane,aeroplane,aeroplane,aeroplane,aeroplane
aisle,gangway,gangway,gangway,aisle
alfalfa,lucerne,lucerne,lucerne,lucerne
all-purpose flour,plain flour,plain flour,plain flour,white flour
allen wrench,allen key,allen key,allen key,allen key
alley,mews,mews,mews,alley
allowance,pocket money,pocket money,pocket money,pocket money
football,American football,grid iron,American football,American football
anise,aniseed,aniseed,aniseed,aniseed
antenna,aerial,aerial,aerial,antenna
apartment,flat,flat/unit,flat,apartment
apartment building,block of flats,block of flats,block of flats,apartment building
appetizer,starter,entree,starter,starter
asphalt,asphalt,bitumen,tar,tar
associate professor,reader,reader,reader,reader
attorney/lawyer,barrister/solicitor,lawyer/solicitor,barrister/solicitor,lawyer/barrister
automobile,motor car,motor car,motor car,car
babysitter,child minder,child minder,child minder,helper
bachelor party,stag night,stag night,stag night,bachelor party
bachelorette party,hen night,hen night,hen night,bachelorette party
backsplash,splashback,splashback,splashback,backsplash
backyard,garden,garden,garden,yard
bacon,rasher,rasher,rasher,bacon
baked potato,jacket potato,jacket potato,jacket potato,jacket potato
baking soda,bicarbonate of soda,bicarbonate of soda,bicarbonate of soda,baking soda
ballpoint pen,Biro,Biro,Biro,pen
band-aid,plaster,plaster,plaster,band-aid/plaster
bangs,fringe,fringe,fringe,bangs
bar,pub,pub,pub,rum bar
barrette,hairslide,hairslide,hairslide,hair clip
bartender,landlord,landlord,landlord,barkeep
baseball,rounders,rounders,rounders,rounders
baseboard,skirting board,skirting board,skirting board,skirting board
bath robe,dressing gown,dressing gown,dressing gown,dressing gown
bathroom,WC,bathroom,bathroom,bathroom
beat,knackered/fagged,knackered/fagged,knackered/fagged,tired
beef jerky,beef jerky,beef jerky,biltong,beef jerky
beet,beetroot,beetroot,beetroot,beetroot
bell pepper,capsicum,capsicum,capsicum,green pepper
belly,belly,belly,boep,belly
beltway,ring road,ring road,ring road,ring road
Big Dipper,The Plough,The Plough,The Plough,Big Dipper
billboard,hoarding,hoarding,hoarding,sign
billfold,wallet,wallet,wallet,wallet
binoculars,field glasses,binoculars,field glasses,binoculars
biscuit,scone,scone,scone,scone
biweekly,fortnightly,fortnightly,fortnightly,fortnightly
blackjack,life preserver,life preserver,life preserver,life preserver
blinker,winker,winker,winker,blinker
breakroom,restroom,restroom,restroom,restroom
broil,grill,grill,grill,grill
bucks,quid,bucks,bucks,dollars
buddies,mates,mates,mates,parry
buffet,set meal,set meal,set meal,set meal
bug,beetle,beetle,beetle,bug
bulletin board,noticeboard,noticeboard,noticeboard,noticeboard
bullhorn,loudhailer,loudhailer,loudhailer,loudspeaker
burglary,house-breaking,house-breaking,house-breaking,house-breaking
busy,engaged,engaged,engaged,busy
butt,bum,bum,bum,bottom
cable tv,pay tv,pay tv,pay tv,cable
cafeteria,refrectory/canteen,canteen,canteen,canteen
camera flash,flashlight,flashlight,flashlight,flash
campground,pitch/campsite,pitch/campsite,pitch/campsite,pitch
can,tin,tin,tin,tin
candy,sweets,sweets/lollies,sweets,sweetie
candy apple,toffee apple,toffee apple,toffee apple,candy apple
cantaloupe,cantaloupe,rockmelon,spanspek,cantaloupe
carousel,roundabout/mery-go-round,roundabout/mery-go-round,roundabout/mery-go-round,merry-go-round
carpeting,fitted carpet,fitted carpet,fitted carpet,carpet
carryall,holdall,holdall,holdall,holdall
cart,trolley,trolley,trolley,trolley
cellphone,mobile,mobile,mobile,celly
CEO,managing director,managing director,managing director,manager
certified mail,recorded delivery,recorded delivery,recorded delivery,registered letter
check,bill,bill,bill,bill
checkers,draughts,draughts,draughts,checkers
checking account,current account,current account,current account,current account
checkmark,tick,tick,tick,tick
chicken,chicken,chook,chicken,chicken
chicken coop,chicken coop,chook shed/chook yard,chicken coop,chicken coop
chief of police,commissioner,commissioner,commissioner,commissioner
chocolate,chocolate,chokkie/choccy,chocolate,chocolate
chutes and ladders,snakes and ladders,snakes and ladders,snakes and ladders,snakes and ladders
cilantro,coriander,coriander,coriander,coriander
clap board,weatherboard,weatherboard,weatherboard,weatherboard
clippings,clippings,cuttings,clippings,clippings
closet,wardrobe/cupboard,wardrobe,wardrobe,closet/hanging shelf
clothes,clothes,duds,clothes,clothes
clothes pin,peg,peg,peg,clothespin
coatroom,cloakroom,cloakroom,cloakroom,cloakroom
cocktail party,drinks party,drinks party,drinks party,drinks party
coffee break,morning tea,smoko/morning tea,morning tea,morning tea
coffee with cream,white coffee,coffee with cream,coffee with cream,coffee
coin purse,purse,purse,purse,coin purse
collect call,reverse charge,reverse charge,reverse charge,collect call
come over,come round,come round,come round,come round
comforter,duvet,doona,duvet,comforter
commercial,ad,ad,ad,ad
common stock,ordinary share,ordinary share,ordinary share,ordinary share
complain,complain,whinge,complain,whine
confused,fogged,confused,deurmekaar,confused
congress,conference,conference,conference,conference
construction,roadwork,roadwork,roadwork,roadwork
convertible top,hood,hood,hood,soft top
cookie sheet,baking tray,baking tray,baking tray,baking tray
cookies,biscuit/bickie,biscuits/biccies,biscuit,biscuit
cooler,cooler,esky,cooler,igloo
cop,bobby,cop,cop,babylon
corn,maize,maize,mealie,corn
corn starch,cornflour,cornflour,cornflour,cornflour
costume,fancy dress,fancy dress,fancy dress,costume
cotton ball,cotton wool,cotton wool,cotton wool,cotton
cotton candy,candy floss,fairy floss,candy floss,cotton candy
counter-clockwise,anti-clockwise,anti-clockwise,anti-clockwise,anti-clockwise
countertop,worktop,kitchen bench,worktop,counter
coveralls,boiler suit,boiler suit,boiler suit,boiler suit
cowboy,drover,jackaroo,drover,cowboy
crackers,biscuits,biscuits,biscuits,crackers
crap,rot,rot,rot,crap
crazy,mad,mad,mal,mad man
crazy person,nutter,nutter,nutter,mad man
crib,cot,cot,cot,crib
criminal,criminal,criminal,skelm/skollie,thief/gunman
cross walk,pedestrian crossing/zebra crossing,pedestrian crossing,pedestrian crossing,pedestrian crossing
crossing guard,lollipop man,lollipop man,lollipop man,crossing guard
cupcake,fairy cake,fairy cake,fairy cake,cupcake
dark chocolate,plain chocolate,plain chocolate,plain chocolate,chocolate
dead on,bang on,bang on,bang on,right
defroster,demister,demister,demister,air
derby hat,bowler,bowler,bowler,hat
dessert,puddings/afters/dessert/sweets,,dessert,cake
detour,diversion,diversion,diversion,detour
diaper,nappy,nappy,nappy,pampers
dim,dip,dip,dip,dip
diner,cafe/caff,cafe,cafe,cookshop
diner,chop house,roadhouse,chop house,restaurant
dining car,restaurant car,restaurant car,restaurant car,dining car
directory asistance,directory enquiries,directory enquiries,directory enquiries,operator
disbarred,struck off,struck off,struck off,struck off
discount store,cut-price shop,cut-price shop,cut-price shop,bargain centre
dish rag,dish mop,dish mop,dish mop,rag
dish towel,tea towel,teatowel,teatowel,kitchen towel
divided highway,dual carriageway,dual carriageway,dual carriageway,highway
dock,quay,quay,quay,wharf
doctor's office,surgery,surgery,surgery,doctor
doghouse,kennel,kennel,kennel,kennel
door jam,door frame,door frame,door frame,door jam
downtown,city centre,CBD,city centre,downtown
draft,draught,draught,draught,beer
drapes,curtain,curtain,curtain,curtain
dresser/bureau,chest of drawers,chest of drawers,chest of drawers,chest of drawers
driver's license,driving licence,driving licence,driving licence,driving licence
drugs,medicine,medicine,muti,drugs
drugstore/pharmacy,chemist,chemist shop,chemist,pharmacy
drunk,pissed,pissed,pissed,drunk
dry erase board,whiteboard,whiteboard,whiteboard,whiteboard
dumpster,skip,skip,skip,garbage bin
duplex,semi-detached house,semi-detached house,semi-detached house,duplex
duvet,doona,doona,doona,comforter
efficiency apartment,bed-sit,bed-sit,bed-sit,efficiency
eggplant,aubergine,aubergine,aubergine,eggplant
electrical outlet,power point,powerpoint,power point,outlet
elementary school,primary school,primary school,primary school,primary school
elevator,lift,lift,lift,elevator
emergency brake,handbrake/parkbrake,handbrake/parkbrake,handbrake/parkbrake,hand brake
emergency room,casualty,casualty,casualty,outpatient
eraser,rubber,rubber,rubber,rubber
